,team1perMinplayPTS,team1perMinplayAST,team1perMinplayTO,team1perMinplaySTL,team1perMinplayBLK,team1perMinplayPF,team1perMinplayFGA,team1perMinplayFGM,team1perMinplay2PA,team1perMinplay2PM,team1perMinplay3PA,team1perMinplay3PM,team1perMinplayFTA,team1perMinplayFTM,team1perMinplayORB,team1perMinplayDRB,team1perMinplayTRB,team1perMinteamDayOff,team1perMinplayMin,team1perMinplayHeight,team1perMinplayWeight,team1perMinplayFG%,team1perMinplay2P%,team1perMinplay3P%,team1perMinplayFT%,team1perMinTS%,team1perMinUSG%,team1perMinORtg,team1perMinDRtg,team1perMinaPER,team1perMinPER,team1perMinNRtg,team1perMinFF1,team1perMinFF2,team1perMinFF3ORB,team1perMinFF3DRB,team1perMinFF4,team1perMinTotPoss,team1perMincummPTS,team1perMincummTotPoss,team1perMinPPP,team1perMinOWS
0,0.370041689,0.456194875,0.111984128,0.081432203,1,0,0.686630491,0.298512024,0.418211522,0.111914127,0.755676286,0.641019082,0.232736351,0.204423019,0.386536927,0.592385223,0.447080189,0.329229287,0.721348707,0,0,0.228959123,0.188455117,0.348562716,0.464698957,0.302564304,0.501900989,0.408444166,0.260228663,0.184688337,0.23397822,0.2492944,0,0.04159363,0.245434509,1,0.151237599,0.47944198,0.887883816,0.856963051,0.343044254,0.687633303
1,0.592487915,0.606802919,0.091780541,0.225757284,0.57475293,0.353570854,0.438506609,0.49865723,0.49084635,0.625853633,0.313684472,0.158738552,0.995369502,0.80348502,0.256358385,0.514734537,0.330478786,0.797210272,0.338970142,0,0,0.299785081,0.370225486,0.271873194,0.741285391,0.374562841,0.374696471,0.926400479,0.3885771,0.343331585,0.371548148,0.241159164,0,0.074635469,0.195469831,0.163475835,0.772525798,0.483591625,0.679037319,0.52203151,0.599413664,1
2,0.369728889,0.165020729,0,0.403551358,0.668968506,0.066774051,0.713559242,0.22832363,0.314003403,0.259451136,0.938039506,0.327875781,0.521655525,0.526355034,0.014697196,0.192970637,0.004451854,0.58362586,0.742775281,0,0,0.360875684,0.373081907,0.025274088,0.140569916,0.397327197,0.698902159,0.012813182,0.440774065,0.173517573,0.220452957,0.56246613,0,0,0.020589292,0.054607128,0.220814306,0.632356875,0.738043044,0.726303645,0.546506665,0.522365093
3,0.593910427,0.679248793,0.524931664,0.901618425,0.5146904,0.615398865,0.880920215,0.613098161,0.578677106,0.461894064,0.847975047,0.617580169,0.38745321,0.334716706,0.779264002,0.532954113,0.577604519,0.246724881,0.911722879,0,0,0.241321261,0.332737757,0.337689639,0.789190791,0.287822601,0.267721411,0.659055937,0.124641169,0.407193091,0.442110688,0.094940462,0,0.225941257,0.63095632,0.35551671,0.287509462,0.677082415,0.771279278,0.818993764,0.214433067,0.360411569
4,0.324307739,0.478188119,0.749755666,0.478872353,0.731156592,0.850035021,0.211916217,0.29676451,0.351959271,0.395758005,0.189057719,0.230038597,0.318777502,0.317586324,0.570536102,0.392493602,0.383852015,0.124742849,0.623185271,0,0,0.322478429,0.297879249,0.37926344,0.188609451,0.367955348,0.31545402,0.222072531,0.320743344,0.240442063,0.288620749,0.389093396,0,0.944133817,0.597311036,0.300631602,0.144502696,0.290160919,0.504193748,0.416233777,0.444506219,0.752978874
5,0.345286325,0.392563124,0.166580612,1,0.174033089,1,0.343619674,0.110771808,0.513130093,0.223778148,0.148571503,0.242012997,0.635589861,0.739351327,0.336558639,0.33117906,0.23696375,0.259782979,0.987792288,0,0,0.25870707,0.124764299,0.582365534,1,0.393952678,0.233869515,0.860238295,0.179245807,0.569692096,0.665171211,0.140164784,0,0.078677409,0.255231967,0.397422705,0.45179443,0.331247227,0.728233884,0.833831715,0.107700389,0.194264672
6,0.727265027,0.770759643,0.237343672,0.557273336,0.7262825,0.319173378,0.72064362,0.907449029,0.8668079,0.948776363,0.182800263,0.277953625,0.397400662,0.375431059,0.233284394,0.628601605,0.405585251,0.229307832,0.873730991,0,0,0.414288476,0.468083999,0.322301743,0.614361806,0.45372663,0.342020508,0.765250064,0.171348163,0.490118379,0.505783516,0.118690708,0,0.2557256,0.256725888,0.596789839,0.194385562,0.61994264,0.695738545,0.619523387,0.285733733,0.856985461
7,0.433559531,0.064052163,0.327674848,0,0.303399387,0.734333621,0.636561863,0.359422525,0.51498953,0.351043747,0.580584375,0.418585331,0.388610569,0.429752511,0.376752915,0.73596579,0.539664938,0.118263895,1,0,0,0.221139337,0.216484893,0.583175449,0.548529209,0.295545036,0.146195785,0.559803421,0.136150977,0.326223773,0.44194714,0.142440174,0,0.085956682,0.292712925,0.3169725,0.265755405,0.542262305,0.713854052,0.597965334,0.312358192,0.884933911
8,0.370937893,0.229425924,0.54787724,0.819685559,0.703158977,0.536015597,0.561594956,0.159955878,0.225422847,0.09402453,0.884139285,0.513153134,0.659147959,0.533095295,0.420399976,0.569296894,0.440365767,0.265883438,0.972432165,0,0,0.212323186,0.297317659,0.173602688,0.462580114,0.288494218,0.181767117,0.418319062,0.226700748,0.454226224,0.544180164,0.265110195,0,0.158416843,0.280963975,0.315463244,0.196079709,0.609460985,0.83898406,0.851651951,0.415273025,0.27280654
9,0.543220202,0.672906865,0.259383718,0.355951593,0.501133093,0.291578356,0.693889741,0.504135404,0.671663636,0.526748055,0.420078733,0.322188424,0.464236408,0.521227013,0.579868667,0.59042696,0.532092137,0.136343066,0.888305519,0,0,0.182380674,0.27736844,0.297162451,0.656562532,0.208715518,0.107316216,0.725010919,0.128226172,0.460664632,0.517763717,0.121570781,0,0.014253422,0.381773644,0.360293367,0.357428047,0.528409786,0.662022832,0.614479442,0.180937345,0.73892943
10,0.559844528,0.286371703,0.576067054,0.402820806,0.274947562,0.478921235,0.697403445,0.534413641,0.692358496,0.537227807,0.407417826,0.36389123,0.443582393,0.504264526,0.391304648,0.412260288,0.324026214,0.299181704,0.755260163,0,0,0.401244266,0.424370476,0.13576716,0.702057058,0.391072342,0.667343527,0.833653355,0.341770607,0.142177346,0.17779932,0.300666613,0,0.575504336,0.293862744,0.166454457,0.474294627,0.666784865,0.521239082,0.475262675,0.2191573,0.62367501
11,0.331219699,0.535582386,0.560370732,0.238269724,0.34556809,0.462930342,0.528385569,0.221634392,0.635640141,0.455071984,0.233275922,0.028609639,0.577289534,0.590166008,0.465145846,0.294180948,0.279813172,0.467233163,0.780327292,0,0,0.087022844,0.171790877,0.016579259,0.641866987,0.142208051,0.664171016,0.720883123,0.376709452,0.372405173,0.370669224,0.362040043,0,0.305100432,0.332706311,0.265674071,1,0.542215215,1,1,0.107805594,0.439936022
12,0.425443435,0,0.379318412,0.585401917,0.527432131,0.754976767,0.556881723,0.343994092,0.640540514,0.498247458,0.277749433,0.145941463,0.560196163,0.60140716,0.520974381,0.736191564,0.603428291,0.36012598,0.755343275,0,0,0.211519185,0.334189686,0.019847715,0.469961673,0.159892981,0.824464395,0.823502317,0.337710862,0.25649649,0.352717176,0.30322698,0,1,0.402160626,0.541259732,0.582058619,0.503711704,0.366052131,0.342635126,0.199052427,0.589222365
13,0.198429978,0.631711134,0.214636498,0.116114179,0.858844586,0.684436248,0.224361238,0.248497451,0.326196084,0.298004341,0.237672662,0.284699571,0,0,0.273758584,0.950306868,0.643522675,1,0.831454709,0,0,1,0.961776226,0.042339835,0,0.998036533,1,0,0.894510541,1,1,1,0,0.57774277,0.268262066,0.417385831,0.084643744,0.141756029,0.502145023,0.52015022,1,0.061058907
14,0.542217139,0.527465134,0.22875599,0.268954751,0.625318231,0.224313764,0.459320023,0.578940752,0.511610812,0.540676185,0.312122301,0.417529592,0.36988208,0.333312837,0.461331666,0.3739166,0.327545446,0.07783427,0.753294018,0,0,0.245956726,0.16837066,0.421606004,0.701889166,0.298420965,0.155751515,0.955229177,0.116568879,0.384826483,0.423167718,0.054018488,0,0.217481618,0.406021034,0.199559848,0.466321373,0.358360355,0.411324763,0.337289604,0.127580351,0.930911741
15,0.632753501,0.671935373,0.389158716,0.285939271,0.254257287,0.31548067,0.867902663,0.64390832,0.541894554,0.460654532,0.853123547,0.641255484,0.306574931,0.362698966,0.700852731,0.350682049,0.39312965,0.181087537,0.767899168,0,0,0.121166565,0.070819074,0.405272329,0.353513816,0.132388058,0.154099863,0.387119953,0.120803641,0.356948904,0.530740207,0.142881577,0,0.210095722,0.646090713,0.170500734,0,0.644071153,0.237534905,0.175833897,0.117566241,0.858175376
16,0.48263228,0.243130394,0.297902153,0.224857193,0.934959769,0.626578104,0.301637804,0.377335932,0.491839034,0.50363219,0.122528334,0.175401803,0.786394297,0.679549578,0.307811124,0.696187326,0.465638321,0.701668604,0.611214996,0,0,0.662511451,0.752679907,0.431488982,0.593838459,0.76512844,0.895568568,0.674235829,0.692061705,0.35405832,0.394744894,0.688603443,0,0.246681475,0.321235767,0.252382093,0.709847555,0.398426979,0.446332748,0.38800475,0.608939983,0.627290776
17,0.447375295,0.646156695,0.253873984,0.453634373,0.645927749,0.524806625,0.502154024,0.529763209,0.720157517,0.616464708,0.095066973,0.234340091,0.174450167,0.251592065,0.353992779,0.747596176,0.535347597,0.519409546,0.760729813,0,0,0.677852074,0.550376278,0.644952268,0.640787163,1,0.772968348,0.334222447,0.46974339,0.684556049,0.776233783,0.528600168,0,0.636756328,0.319625993,0.540368193,0.079754666,0.39116196,0.48516677,0.431761733,0.501230334,0.755722758
18,0.468133574,0.650034807,0.818285713,0.588735883,0.073140305,0.944103595,0.633950016,0.38447086,0.487880408,0.426199951,0.60275847,0.318141113,0.64670771,0.543657683,0.394463067,0.435640392,0.34928393,0.125057676,0.766850483,0,0,0.082228623,0.178588883,0.24781193,0.304217754,0.041040969,0.09858998,0.451503313,0.075775724,0.197241404,0.293759974,0.083636623,0,0.332358584,0.299378972,0,0.160595907,0.722973808,0.630495175,0.654239037,0.050855002,0.400984818
19,0.614903438,1,0.886065195,0.341862645,0.448373205,0.906830872,0.628784369,0.512645839,0.718335531,0.500067045,0.277249174,0.382840908,0.778589169,0.669645068,0.612323428,0.877953574,0.733338013,0.301943816,0.753406896,0,0,0.40544988,0.442878943,0.634505983,0.301303652,0.418142211,0.646836119,0.437141153,0.401496602,0.108425398,0.121309733,0.418837916,0,0.452257486,0.596737523,0.652443923,0.270829101,0.725001668,0.643209159,0.620111308,0.319282811,0.536195315
